Size (MB),AES Time (s),AES Memory (bytes),AES CPU,DES Time (s),DES Memory (bytes),DES CPU
1,0.00756223996480306,275797.3333333333,0.0,0.012458562850952148,10922.666666666666,0.005208333333333333
5,0.01678188641866048,0.0,0.0,0.05666184425354004,0.0,0.03125
10,0.0284577210744222,0.0,0.010416666666666666,0.11842767397562663,1365.3333333333333,0.07291666666666667
50,0.14399965604146323,1365.3333333333333,0.057291666666666664,0.5713603496551514,1365.3333333333333,0.3229166666666667
100,0.283600648244222,0.0,0.171875,1.08281413714091,0.0,0.7760416666666666
